PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-23,13:37:44.33,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,62.88923,2.120574,-0.552918,1915.782723,168.105855,11:30,3.68576,-0.50858,18.77622,-23.59521,16.943,-3.30843,3.21242,-1.17336,57.4986,-3.750446,-1.335623,0.458251,,,,,,,,,,,,2.66559,14.6615,0.43359,50,3.29956,0.72148,-93.46557,5.18535,2.30033,17.29622,-19.52161,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,cfc273b0-2082-11f0-a0b0-c1f99f400d2b,82.25279,,,5.39063,,,,,,,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:37:44.33,2025-04-23T13:37:44.3357184-07:00,2025-04-23T20:37:44.3357184Z,,v3,,,,,,Undefined,SAN_BAR1,6bbf7d34-711d-4261-ba9e-ad6065449df0,41.72417,-91.92133,8.64811,3.68471,3.44243,-9.7608,0.50718,0.92686,1.15016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-23,13:38:37.38,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,65.06725,-0.861168,-1.73594,1811.010953,,,3.8867,0.18389,18.35187,,,,2.72498,-1.41646,55.90651,-2.889348,-2.762214,0.46187,85.46537,-0.748005,-11.591715,1449.527951,,,,43.02075,42.73068,-11.111933,0.330671,2.75811,31.15951,-0.41617,50,3.95989,2.7378,-97.5215,-0.76208,2.37666,30.20692,-5.32407,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,ef3dfde0-2082-11f0-a0b0-c1f99f400d2b,81.60833,2.76542,,9.16074,,,,3.35793,2.76542,0.56896,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:38:37.38,2025-04-23T13:38:37.3849088-07:00,2025-04-23T20:38:37.3849088Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,0c25e7f6-9dbb-4969-a4ba-a8f5d294535e,42.1489,-95.05855,15.10346,3.88005,-1.19618,-2.66204,-0.18504,2.93158,1.18833,59.050721,3.36055,122.67654,-15.67961,,,,,,,2.76906,-1.78288,-19.96498,,,,,,,0.5714,-25.28326,-4.61416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Medium,Medium,,,
3,2025-04-23,13:38:43.35,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,52.26812,4.313443,-0.826,3209.722798,46.885238,7:30,4.52092,1.20418,18.13936,-74.45028,-11.7878,-15.20438,1.40604,-0.6533,47.3834,-13.41636,-4.377029,0.569738,80.2569,19.268177,-14.687864,3459.115498,107.44029,26.01049,-23.59101,253.91267,252.2165,-10.951548,2.814721,12.45556,-11.04568,-1.29873,50,3.80724,0.5425,-77.95626,9.2528,7.1543,15.84946,-38.51854,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,f2f2c880-2082-11f0-a0b0-c1f99f400d2b,66.1575,27.06513,,4.88472,,,,4.03532,1.94821,0.46073,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:38:43.35,2025-04-23T13:38:43.3514496-07:00,2025-04-23T20:38:43.3514496Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,ac82ec51-a9e6-48a9-bb33-cac85ee678a5,42.36864,-76.38896,7.92473,4.53389,5.44382,-19.25927,-1.21011,1.24997,3.57715,224.002121,4.03536,107.48527,-10.41026,1.79914,-0.46871,0.22345,-0.11111,0.03076,-0.00324,1.94825,38.83932,-15.91431,0.6381,0.19083,-0.23867,0.13004,-0.03331,0.00323,0.46072,-28.1742,6.49737,-1.76633,0.5214,-0.17054,0.06361,-0.01564,0.00156,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-04-23,13:38:49.57,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,64.53662,-0.218651,-1.840445,2051.923119,,,3.91241,0.11426,18.64348,,,,3.16848,-1.49728,55.42243,-2.380278,-2.721937,0.462355,,,,,,,,,,,,2.11902,30.47324,-0.37157,50,3.88859,2.92541,-96.74287,0.44949,1.79944,29.55323,-6.29648,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,f6867690-2082-11f0-a0b0-c1f99f400d2b,81.52264,,,9.11418,,,,,,,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:38:49.57,2025-04-23T13:38:49.5742976-07:00,2025-04-23T20:38:49.5742976Z,,v3,,,,,,Undefined,SAN_BAR1,357bb2e2-6769-4d81-a8af-37d329c925fd,41.85441,-94.22168,14.77662,3.90402,-0.08766,-3.14824,-0.11546,3.07892,0.89972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2025-04-23,13:39:02.92,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,53.10867,4.450089,-0.985763,3147.434103,41.872088,7:30,4.51288,1.20489,18.16989,-73.085,-13.08005,-13.66107,1.6078,-0.63768,48.52113,-12.92813,-4.177813,0.557526,88.31676,3.190385,-18.391902,1378.517764,,,,82.6966,75.04918,-20.208248,0.653678,11.15579,-12.16501,-1.32108,50,3.77615,0.81013,-79.11472,9.59217,6.68677,15.17943,-39.46574,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,fe976f60-2082-11f0-a0b0-c1f99f400d2b,67.60663,3.01408,,4.58753,,,,3.68986,2.23817,0.42825,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:39:02.92,2025-04-23T13:39:02.9221376-07:00,2025-04-23T20:39:02.9221376Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,504cdaae-8720-4624-bb96-87b4dad7495c,42.33934,-77.63099,7.58971,4.52521,5.73454,-19.73287,-1.20995,1.46374,3.34338,90.18985,3.70906,122.33023,-14.24266,,,,,,,2.25072,6.95209,-15.93079,,,,,,,0.44669,-41.18644,-4.93196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2025-04-23,13:39:09.35,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,65.43939,-3.394406,-0.510134,1762.86563,,,4.37059,-0.07795,18.64917,,,,1.28637,-1.51446,56.70421,-5.764228,-3.555059,0.455154,,,,,,,,,,,,12.14666,32.1951,0.03892,50,4.82576,0.01254,-98.35606,-5.26556,10.58247,31.48814,-4.12491,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,024905b0-2083-11f0-a0b0-c1f99f400d2b,82.81245,,,8.73518,,,,,,,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:39:09.35,2025-04-23T13:39:09.3598208-07:00,2025-04-23T20:39:09.3598208Z,,v3,,,,,,Undefined,SAN_BAR1,15e6c46a-9d5c-4127-8927-a524888326de,41.8592,-95.71436,15.74407,4.36949,-5.61162,-2.06246,0.07721,0.90036,5.29123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2025-04-23,13:39:24.22,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,53.06714,4.76499,-1.027525,3191.560927,45.12934,7:30,4.51517,1.20116,18.14497,-72.90063,-12.54898,-14.82332,1.85398,-0.76855,48.31826,-12.581019,-4.485572,0.559134,70.82207,-8.632769,-13.885417,,,,,16.6537,11.21152,-9.831723,0.138447,12.0552,-11.77875,-1.3227,50,3.74209,0.83495,-79.02506,9.96963,7.19165,15.36234,-39.20077,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,0b3913e0-2083-11f0-a0b0-c1f99f400d2b,67.41217,2.20351,,4.74889,,,,2.71471,2.20351,0.41128,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:39:24.22,2025-04-23T13:39:24.2202112-07:00,2025-04-23T20:39:24.2202112Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,30d0412b-2be1-4b91-900a-9ae802efce00,42.3639,-77.52641,7.68117,4.52813,6.14544,-19.60039,-1.20702,1.53653,3.59582,208.139095,2.71476,99.68947,-5.60358,,,,,,,2.20339,-15.57975,-2.41689,,,,,,,0.41115,-24.63216,8.11438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2025-04-23,13:39:28.91,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,64.80402,-0.405682,-1.945763,1719.352293,,,3.98821,0.133,18.5331,,,,3.15361,-1.27587,55.6489,-2.441011,-2.032954,0.46163,52.08105,-29.708431,-49.60816,,,,,8.18,6.50358,-26.538294,0.087126,-0.84843,30.48927,-0.4053,50,3.98643,3.27907,-97.01585,0.15179,-0.72684,29.3291,-6.05404,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,0e0d6990-2083-11f0-a0b0-c1f99f400d2b,81.65073,3.32717,,9.15512,,,,3.53947,3.32717,0.78639,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:39:28.91,2025-04-23T13:39:28.9162752-07:00,2025-04-23T20:39:28.9162752Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,edcb9a1c-6147-47a4-a1ed-7036b985052a,41.96227,-94.55473,14.66455,3.97785,-0.35623,-3.02702,-0.1327,3.21807,-0.36342,180,3.53418,43.36983,,,,,,,,3.33182,-38.18787,,,,,,,,0.79261,-50.97409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Medium,Medium,,,
9,2025-04-23,13:39:34.94,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,65.04101,0.04687,-2.071121,1911.864338,,,3.75489,0.22544,18.50017,,,,3.26019,-1.2826,55.7659,-1.935919,-2.183982,0.46064,,,,,,,,,,,,-0.85516,30.71604,-0.51383,50,3.70037,3.50217,-97.50661,0.80723,-0.73595,30.31483,-5.7392,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,11855240-2083-11f0-a0b0-c1f99f400d2b,81.82631,,,9.27512,,,,,,,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:39:34.94,2025-04-23T13:39:34.9445120-07:00,2025-04-23T20:39:34.9445120Z,,v3,,,,,,Undefined,SAN_BAR1,8191f08b-52a3-4521-b2ee-c584afabda5d,41.9996,-94.98672,15.15742,3.74765,0.33016,-2.8696,-0.22525,3.44099,-0.36798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,2025-04-23,13:39:51.38,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,51.85343,4.003184,-1.172798,3048.811151,45.003761,7:30,4.4942,1.20644,18.05201,-75.60421,-11.72934,-14.21001,1.06662,-0.81792,47.15302,-13.937222,-4.486236,0.575223,70.89141,22.902851,-17.286801,1618.668296,104.82528,29.97199,-33.34119,219.51412,217.23142,-19.635215,3.032052,11.39658,-10.75564,-1.34714,50,3.83056,1.05398,-77.33451,8.75527,6.44794,15.52202,-38.25934,SAN_BAR1,,PershingPark,,,20250423-PershingPark-BP-1,1b6f77e0-2083-11f0-a0b0-c1f99f400d2b,65.52664,30.26305,,4.70041,,,,3.1198,1.52491,0.67664,87c9e6ae-8848-4e36-a8db-50a5ff282d1b,2025-04-23,20:39:51.38,2025-04-23T13:39:51.3870848-07:00,2025-04-23T20:39:51.3870848Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,76fbc773-5818-4cbd-9b59-3a3cb8ab004c,42.456,-75.80521,7.76101,4.50748,4.98578,-19.12967,-1.212,1.68927,3.22397,167.931096,3.11953,91.46093,-13.28933,2.90368,-0.74767,0.26989,-0.09282,0.01912,-0.00159,1.5252,40.45366,-14.90467,0.42421,0.13066,-0.13666,0.062,-0.01272,0.00095,0.67665,-28.46014,2.61204,-0.75024,0.12115,0.00826,-0.00848,0.0016,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
