PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-03,11:59:22.72,1,1,"Porter, Josh",1000400089,Right,FUL_COL,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,85.26485,-2.88511,-1.529209,2237.030549,225.431203,1:30,5.84015,1.37524,5.31802,-19.89989,19.86273,18.72021,1.47075,1.49968,77.28954,-6.626644,1.795635,0.453846,,,,,,,,,,,,-9.87658,11.26544,-1.25086,50,5.56468,2.48553,-123.46356,-6.8442,-15.07859,27.08411,-14.97512,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,ba2ea840-2850-11f0-97e6-4f5374946a3d,83.05112,,,7.97531,,,,,,,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,18:59:22.72,2025-05-03T11:59:22.7269632-07:00,2025-05-03T18:59:22.7269632Z,,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,c2c1137a-c002-482a-97c9-b0d54fc9be7b,55.18304,-124.59537,13.54205,5.83761,-6.21841,-7.48756,-1.36789,3.11565,-7.5393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-03,12:01:03.67,1,2,"Porter, Josh",1000400089,Right,FUL_COL,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.91527,-2.139933,-3.165954,2349.621143,208.802644,1:00,5.81873,0.81363,5.46569,-17.43749,20.58946,10.58398,2.35868,-1.27065,78.73282,-5.455178,-1.285397,0.443831,,,,,,,,,,,,-6.25989,11.38662,-0.54201,50,5.61846,6.49045,-125.79402,-5.22143,-9.94861,27.46472,-14.07768,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,f6573350-2850-11f0-97e6-4f5374946a3d,84.92526,,,8.18245,,,,,,,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:01:03.67,2025-05-03T12:01:03.6771328-07:00,2025-05-03T19:01:03.6771328Z,,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,c081d60d-9f6f-4ead-b212-a7ad96e833a6,55.03352,-126.88823,13.73236,5.81532,-4.66056,-7.03884,-0.80849,6.88681,-4.9743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-03,12:01:16.91,1,3,"Porter, Josh",1000400089,Right,FUL_COL,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,,86.34913,-2.488438,-1.770767,2300.112948,209.287702,1:00,5.76054,0.85368,5.5304,-17.87737,20.40733,10.70831,1.94188,0.09011,78.49626,-5.876996,0.137635,0.445332,84.65489,8.257989,-37.525356,3950.929477,,,,105.02892,104.93907,-40.411969,0.963246,-5.99213,11.4726,-0.70733,50,5.53265,3.42095,-125.15856,-5.97771,-9.43798,26.91859,-14.10397,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,fe377f30-2850-11f0-97e6-4f5374946a3d,84.63894,5.76168,,7.85287,,,,3.31141,2.13003,0.00973,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:01:16.91,2025-05-03T12:01:16.9109504-07:00,2025-05-03T19:01:16.9109504Z,GroundBall,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,21a897d6-ed1f-4145-90ad-3661e715983e,54.97168,-126.22332,13.4593,5.75806,-5.41983,-7.05199,-0.85002,3.79427,-4.71899,78.885352,3.31141,97.44865,-22.84099,5.50888,-1.37941,0.39409,-0.08967,-0.04702,0.03877,2.13003,17.83316,-22.80693,2.47837,-0.48434,0.06334,-0.00453,0.02444,-0.01657,0.00973,-74.84334,4.61121,-0.27139,-0.10821,0.10421,-0.03641,-0.03203,0.0261,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-05-03,12:02:08.20,2,1,"Porter, Josh",1000400089,Right,FUL_COL,"Camberg, Aidan",10311235,Left,SAN_BAR1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.77178,-3.701818,-2.331533,2350.799195,209.074937,1:00,5.96716,0.97357,5.39929,-17.84639,20.37974,10.58792,1.00315,-0.33026,78.92157,-7.065115,-0.449878,0.444991,,,,,,,,,,,,-6.01453,11.7352,-0.77322,50,5.62424,4.64811,-125.52849,-8.67304,-9.53513,26.93412,-13.5696,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,1cce27a0-2851-11f0-97e6-4f5374946a3d,84.70377,,,7.85021,,,,,,,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:02:08.20,2025-05-03T12:02:08.2017792-07:00,2025-05-03T19:02:08.2017792Z,,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,3f3e81f0-cf99-497a-b104-c79eab274b8f,55.10112,-126.61828,13.46706,5.96405,-8.124,-6.7848,-0.96909,5.03392,-4.76757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-03,12:02:26.41,2,2,"Porter, Josh",1000400089,Right,FUL_COL,"Camberg, Aidan",10311235,Left,SAN_BAR1,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.59622,-2.396762,-0.838262,2418.395891,243.800409,2:15,5.67855,1.09913,5.6588,-27.46942,10.58505,18.78454,1.15266,1.88269,78.62776,-7.491225,2.52288,0.443991,,,,,,,,,,,,-9.75815,6.52638,-1.0401,50,5.45836,1.03057,-125.52398,-6.1779,-15.37552,28.35526,-21.89069,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,27abfc10-2851-11f0-97e6-4f5374946a3d,84.89456,,,7.96846,,,,,,,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:02:26.41,2025-05-03T12:02:26.4183296-07:00,2025-05-03T19:02:26.4183296Z,,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,695d1e22-f534-4c89-86b9-f28442cf9790,54.84162,-126.61296,14.17763,5.67948,-5.3372,-10.94534,-1.09101,1.62106,-7.68776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-03,12:02:46.78,2,3,"Porter, Josh",1000400089,Right,FUL_COL,"Camberg, Aidan",10311235,Left,SAN_BAR1,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.9787,-1.995969,-3.102343,2414.074965,215.29234,1:15,5.85493,0.94662,5.6043,-18.8558,19.79544,13.04741,2.41678,-0.86514,77.88665,-5.576465,-0.777305,0.447459,,,,,,,,,,,,-7.53729,11.0189,-0.6894,50,5.67187,6.19107,-124.49751,-4.8986,-11.7248,27.06501,-15.03334,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,33cc62a0-2851-11f0-97e6-4f5374946a3d,84.23665,,,8.09205,,,,,,,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:02:46.78,2025-05-03T12:02:46.7858432-07:00,2025-05-03T19:02:46.7858432Z,,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,44e03c16-5426-41c9-8504-01635c4d098c,54.89576,-125.55731,13.53251,5.85216,-4.30993,-7.51667,-0.94081,6.65018,-5.8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-03,12:03:07.08,2,4,"Porter, Josh",1000400089,Right,FUL_COL,"Camberg, Aidan",10311235,Left,SAN_BAR1,Undefined,1,Top,0,2,1,ChangeUp,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,79.31501,-3.618821,-3.228176,2425.637737,200.383465,12:45,5.74296,1.03208,5.34637,-41.4849,3.97429,0.96193,-1.1187,-1.91918,73.67807,-11.082977,-3.057113,0.485269,,,,,,,,,,,,-1.3865,3.20355,-0.74161,50,5.38553,6.44314,-114.85877,-8.65186,-1.85467,21.00729,-27.88879,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,3fcb8590-2851-11f0-97e6-4f5374946a3d,77.67333,,,5.63693,,,,,,,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:03:07.08,2025-05-03T12:03:07.0844416-07:00,2025-05-03T19:03:07.0844416Z,,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,a0178006-1dba-4eaf-9dbd-a6d8ca9e567c,55.16017,-115.7987,10.50364,5.74472,-7.40403,-13.94439,-1.03176,6.52612,-0.92733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-03,12:03:46.38,3,1,"Porter, Josh",1000400089,Right,FUL_COL,"Putnam, Nick",1000272908,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.89557,-1.877462,-3.215695,2409.691927,213.845288,1:15,5.86567,1.1345,5.6831,-15.72249,21.93718,13.83418,2.80194,-0.71341,78.77214,-4.900144,-0.747636,0.441682,,,,,,,,,,,,-7.94595,12.05575,-0.87203,50,5.69756,6.47529,-125.85677,-4.55354,-12.65779,27.17433,-12.96939,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,57575a90-2851-11f0-97e6-4f5374946a3d,85.33844,,,8.12343,,,,,,,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:03:46.38,2025-05-03T12:03:46.3850000-07:00,2025-05-03T19:03:46.3850000Z,,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,9ead1c9c-a5ec-48fb-ae16-61ddd53369c3,54.81679,-126.89252,13.58717,5.86169,-4.05921,-6.4847,-1.12803,6.95774,-6.32889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.17223,,,1.157153,,,,6.799,5.48228,0.62723,127.30912,8.39011,0.27617,6.94423,116.15498,-10.54428,5.5065,16.806,-12.3803,0.63028,-0.1242,-0.15827,High,High,High,,,High,Medium,Medium
9,2025-05-03,12:04:57.61,3,2,"Porter, Josh",1000400089,Right,FUL_COL,"Putnam, Nick",1000272908,Right,SAN_BAR1,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.03802,-3.267027,-4.033172,2410.376947,214.106681,1:15,5.92947,0.77725,5.68569,-16.40399,21.9495,13.98855,1.50629,-1.82272,78.48314,-6.392704,-1.540708,0.445732,93.31508,-5.379353,26.755139,,,,,15.73433,15.73433,32.37954,0.107064,-8.24504,12.45638,-0.4461,50,5.64338,8.19046,-124.45352,-7.57531,-12.91269,25.3151,-12.66597,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,81c74e70-2851-11f0-97e6-4f5374946a3d,84.56299,1.3748,,7.55488,,,,0.25103,1.3748,1.85352,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:04:57.61,2025-05-03T12:04:57.6140800-07:00,2025-05-03T19:04:57.6140800Z,GroundBall,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,9ac11199-970f-4ee4-8203-e6aa9a5bb161,54.81581,-125.42928,12.65755,5.92595,-7.08711,-6.33299,-0.77138,8.68818,-6.45635,,0.24936,121.76763,,,,,,,,1.37498,-12.84093,,,,,,,,1.85268,61.38963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-05-03,12:05:19.67,3,3,"Porter, Josh",1000400089,Right,FUL_COL,"Putnam, Nick",1000272908,Right,SAN_BAR1,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.55615,-1.958096,-3.234304,2434.338457,215.196871,1:15,5.75113,0.91947,5.65162,-16.10599,21.75009,14.44568,2.57897,-0.89667,78.77706,-5.039118,-0.658574,0.442832,97.81967,19.984175,10.207758,2369.361591,106.72683,35.21952,26.63426,328.77242,316.30522,20.545252,3.629637,-8.2913,11.9904,-0.6545,50,5.57491,6.48301,-125.42924,-4.74589,-13.16455,26.1618,-13.13623,FUL_COL,SAN_BAR1,PershingPark,JUCO,NJCAA,20250503-PershingPark-2,8eeca1e0-2851-11f0-97e6-4f5374946a3d,85.11675,43.96704,,7.77909,,,,2.06405,2.6819,0.87823,7dc32aa0-5485-4544-86fc-7410ddfb339e,2025-05-03,19:05:19.67,2025-05-03T12:05:19.6795392-07:00,2025-05-03T19:05:19.6795392Z,LineDrive,v3,,,,"Pone, Nate",1000242432,Right,FUL_COL,59883117-1646-45e8-ac8d-b11be01bb769,54.8504,-126.43688,13.0809,5.74796,-4.23994,-6.56811,-0.91396,6.99005,-6.58227,226.618283,2.06416,132.68852,-24.80149,5.50675,-0.98369,0.11168,-0.00237,-0.00147,0.00018,2.68167,49.04391,-15.17279,0.42175,-0.15759,0.12947,-0.04891,0.00959,-0.00076,0.87805,23.90435,6.23342,-2.32473,0.48857,-0.03816,-0.00749,0.00222,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
