PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-19,11:32:43.74,1,1,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,70.75432,-0.161136,-7.41674,1859.388409,210.542561,1:00,5.74911,2.02627,4.88262,-38.98341,21.46836,11.19351,2.34675,-4.09776,63.11771,-7.363039,-5.473313,0.559598,,,,,,,,,,,,-8.06197,11.30398,-1.30367,50,5.70184,12.76436,-101.41318,-1.42954,-8.18985,20.37874,-20.69073,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,08873e50-9587-11f0-8eba-7b90a1f8ec28,67.35631,,,7.63661,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:32:43.74,2025-09-19T11:32:43.7460000-07:00,2025-09-19T18:32:43.7460000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,d7f8ffa4-2d62-4c2e-8690-56ed10dd9213,55.61101,-102.5345,10.18937,5.74917,-0.29106,-10.34536,-2.01842,13.215,-4.09492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-09-19,11:40:58.44,1,2,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,84.1244,-2.848807,1.91691,,142.279559,10:45,6.76517,-1.03354,4.93026,-22.81576,18.80119,-13.34922,2.16709,-0.33321,76.01026,-7.092675,-0.436698,0.464308,,,,,,,,,,,,7.9302,10.93516,0.85886,50.00013,6.46947,-3.5576,-121.79104,-6.85311,11.65286,28.75607,-16.10566,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,2f4ea720-9588-11f0-8eba-7b90a1f8ec28,81.17976,,,8.11414,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:40:58.44,2025-09-19T11:40:58.4480000-07:00,2025-09-19T18:40:58.4480000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,ad596698-4f93-44da-90f4-0b9d5d2add37,55.57861,-123.10113,14.37804,6.76497,-6.11936,-8.05283,1.03303,-4.08849,5.82643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
3,2025-09-19,11:41:11.80,1,3,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.90534,-1.506903,1.631684,,147.947475,11:00,6.72519,-1.18693,4.92925,-17.51434,24.4971,-14.3219,3.84022,-0.83751,75.12788,-4.858604,-0.891988,0.466504,,,,,,,,,,,,8.42418,13.6506,1.04094,50.00017,6.56542,-2.90512,-121.52169,-3.77219,12.23471,30.19702,-12.34885,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,373e8360-9588-11f0-8eba-7b90a1f8ec28,80.79772,,,8.77746,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:41:11.80,2025-09-19T11:41:11.8050000-07:00,2025-09-19T18:41:11.8050000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,03f0ccb2-693a-4be9-8e62-190f5be0c380,55.57946,-122.90027,15.09851,6.72476,-3.20843,-6.17442,1.18632,-3.46368,6.11735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
4,2025-09-19,11:42:37.81,1,4,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,86.28609,-3.31682,2.626757,2132.779899,137.385556,10:30,6.81397,-0.82798,5.02253,-25.15375,14.5856,-11.99627,1.58091,0.65297,77.57447,-7.971245,0.508441,0.453714,,,,,,,,,,,,6.8241,8.78213,0.58642,50,6.47621,-5.16542,-124.57308,-8.11522,10.50679,29.74235,-18.65253,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,6aa1e0d0-9588-11f0-8eba-7b90a1f8ec28,83.07539,,,8.71162,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:42:37.81,2025-09-19T11:42:37.8130000-07:00,2025-09-19T18:42:37.8130000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,d445c3f3-0744-483c-866c-c479c4ba80f8,55.4758,-125.87366,14.87118,6.81324,-7.29958,-9.32626,0.82234,-5.62487,5.2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
5,2025-09-19,11:43:02.46,1,5,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,86.78911,-2.302005,3.819345,2157.201341,143.196304,10:45,6.81742,-1.08412,5.25913,-19.20792,19.45627,-13.4915,3.04786,1.38549,78.27676,-5.929184,1.433286,0.447534,,,,,,,,,,,,7.88536,10.82654,0.74382,50,6.59231,-7.75635,-125.4036,-5.65445,12.40295,28.26114,-15.14491,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,79554e50-9588-11f0-8eba-7b90a1f8ec28,84.22255,,,8.51235,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:43:02.46,2025-09-19T11:43:02.4630000-07:00,2025-09-19T18:43:02.4630000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,6e16f31c-a75d-4a95-bd52-45ff49f84ffe,55.23907,-126.57878,14.13057,6.81434,-5.02468,-7.57245,1.07707,-8.2721,6.20147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-09-19,11:43:18.57,1,6,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,86.58437,-2.07467,2.448626,2185.263686,140.255004,10:45,6.84438,-1.17971,5.00289,-20.59997,18.92946,-14.43288,3.16647,-0.06941,77.35495,-5.958158,-0.097474,0.452514,,,,,,,,,,,,8.34311,10.66875,0.95723,50,6.62933,-4.73987,-125.20172,-5.23748,12.88284,31.6843,-15.70015,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,82ced7d0-9588-11f0-8eba-7b90a1f8ec28,83.29568,,,9.22942,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:43:18.57,2025-09-19T11:43:18.5700000-07:00,2025-09-19T18:43:18.5700000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,8789a805-f80b-4e21-a9ed-4804ba29d033,55.50163,-126.58634,15.84215,6.84322,-4.55137,-7.85008,1.17667,-5.30286,6.44142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-09-19,11:43:42.25,1,7,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,87.83906,-1.778412,1.759059,,153.119679,11:00,6.7855,-1.09501,4.98158,-17.79702,20.43655,-9.61776,3.62151,-0.23467,78.74737,-5.154195,0.062659,0.445035,,,,,,,,,,,,5.89748,11.56359,0.9338,50.00017,6.60054,-3.51861,-127.21736,-4.57048,9.39715,32.8344,-13.74842,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,90ec46e0-9588-11f0-8eba-7b90a1f8ec28,84.69554,,,9.09169,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:43:42.25,2025-09-19T11:43:42.2570000-07:00,2025-09-19T18:43:42.2570000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,3a133241-81ff-446a-966b-e8d9c8bc955b,55.52714,-128.63595,16.4172,6.78518,-3.97649,-6.87421,1.09459,-3.92461,4.69858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
8,2025-09-19,11:44:03.24,1,8,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,86.89165,-2.524163,2.394005,2147.825971,149.043173,11:00,6.72682,-1.00121,5.14631,-18.33312,20.62462,-11.45792,2.81882,0.29935,77.83314,-6.006157,0.367679,0.44923,,,,,,,,,,,,6.53863,11.56154,0.78637,50,6.47711,-4.73246,-125.58652,-6.11438,10.22054,30.47774,-14.10216,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,9d90d190-9588-11f0-8eba-7b90a1f8ec28,83.90462,,,9.0585,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:44:03.24,2025-09-19T11:44:03.2480000-07:00,2025-09-19T18:44:03.2480000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,5f89eeba-8f7b-4243-ae8a-928206a31b5a,55.35272,-126.87889,15.23887,6.72371,-5.5164,-7.05108,0.99623,-5.16585,5.11027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-09-19,11:44:25.27,1,9,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,86.47716,-1.452309,1.695286,2163.411432,160.594898,11:15,6.75305,-0.95422,5.18542,-15.82001,23.37474,-7.70008,4.0674,-0.00038,77.36035,-4.504989,0.332312,0.450594,,,,,,,,,,,,4.85677,13.14028,0.80307,50.00021,6.60742,-3.40976,-125.29287,-3.68698,7.49164,32.30135,-11.90501,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,aa90e9c0-9588-11f0-8eba-7b90a1f8ec28,83.65053,,,9.11681,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:44:25.27,2025-09-19T11:44:25.2730000-07:00,2025-09-19T18:44:25.2730000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,baa6c957-0235-4fcb-a49f-96a622c9662c,55.32313,-126.65772,16.15068,6.75258,-3.18395,-5.9525,0.95383,-3.72631,3.74582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
10,2025-09-19,11:44:50.31,1,10,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,86.48175,-2.244267,3.630627,2190.178201,143.839172,10:45,6.75074,-0.89427,5.27017,-19.2534,19.82647,-13.3995,3.03274,1.40424,77.66441,-5.893083,1.259549,0.449933,,,,,,,,,,,,7.93351,11.08879,0.5723,50,6.53168,-7.33726,-124.96344,-5.50853,12.31943,29.40512,-14.95497,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,b99a1860-9588-11f0-8eba-7b90a1f8ec28,83.77343,,,8.81734,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:44:50.31,2025-09-19T11:44:50.3140000-07:00,2025-09-19T18:44:50.3140000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,01b4a883-370d-4613-8b82-fe5b976c329e,55.22979,-126.18807,14.70256,6.74812,-4.8857,-7.47749,0.88856,-7.85032,6.15971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-09-19,11:45:43.10,1,11,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,86.54407,-1.736397,2.07243,,134.163316,10:30,6.72843,-0.98954,5.15413,-21.59489,17.65639,-16.5991,3.29262,-0.42093,77.44404,-5.802592,-0.86544,0.450919,,,,,,,,,,,,9.8715,10.0854,0.80977,50.00024,6.55042,-3.88782,-125.33124,-4.53757,15.22395,32.50429,-16.6202,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,d8f45ef0-9588-11f0-8eba-7b90a1f8ec28,83.59031,,,9.10003,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:45:43.10,2025-09-19T11:45:43.1030000-07:00,2025-09-19T18:45:43.1030000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,b64b5a62-93a2-4fb7-bd83-312aa5bd9387,55.35441,-126.71222,16.25215,6.7282,-3.83144,-8.3101,0.98869,-4.53463,7.61198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
12,2025-09-19,11:46:10.42,1,12,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,86.3993,-2.638599,1.920539,,150.134749,11:00,6.72693,-1.22512,5.32803,-17.16914,21.76202,-11.6556,2.81702,-0.39355,77.76464,-5.915035,-0.148504,0.449076,,,,,,,,,,,,7.12036,12.69292,1.06061,50.00015,6.47671,-3.75663,-125.17135,-6.32579,11.02052,31.02199,-12.52858,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,e93e7200-9588-11f0-8eba-7b90a1f8ec28,83.93329,,,8.63467,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:46:10.42,2025-09-19T11:46:10.4290000-07:00,2025-09-19T18:46:10.4290000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,ee4d4081-e9ae-41d6-9c85-f52e862bc75a,55.18079,-126.44878,15.51099,6.72658,-5.80989,-6.26429,1.22465,-4.21043,5.51026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
13,2025-09-19,11:46:33.23,1,13,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,87.00455,-1.47655,2.164404,,143.927204,10:45,6.71958,-1.02478,5.12423,-20.04485,18.7154,-12.55682,3.65706,-0.03149,78.02233,-5.261523,-0.05587,0.448089,,,,,,,,,,,,7.66071,10.54544,0.83195,50.0002,6.56618,-4.26949,-126.03339,-3.93691,11.98569,32.12701,-15.67501,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,f6d76ed0-9588-11f0-8eba-7b90a1f8ec28,84.1181,,,8.98221,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:46:33.23,2025-09-19T11:46:33.2370000-07:00,2025-09-19T18:46:33.2370000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,d0d7c51d-ad1b-4b59-ac2b-d23269ccd5c5,55.38439,-127.39848,16.0635,6.71931,-3.27088,-7.8375,1.02418,-4.77876,5.99284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
14,2025-09-19,11:46:57.39,1,14,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,86.69902,-0.505623,1.824638,2145.06359,132.392543,10:30,6.75902,-0.89664,5.35536,-22.79568,16.04237,-15.90682,4.3849,-0.51031,77.38499,-4.810398,-1.000971,0.448539,,,,,,,,,,,,8.53823,8.62941,0.744,50,6.69794,-3.2717,-125.45352,-1.84856,13.28341,31.01095,-18.74879,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,0544d2a0-9589-11f0-8eba-7b90a1f8ec28,84.03383,,,9.31403,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:46:57.39,2025-09-19T11:46:57.3980000-07:00,2025-09-19T18:46:57.3980000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,60bb7ae5-dfd6-40d6-8e54-a7a6aa552e25,55.14144,-126.71806,15.50548,6.75773,-1.08404,-9.37439,0.88845,-3.81336,6.6417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2025-09-19,11:47:46.54,1,15,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,87.24953,-2.244807,2.777779,2095.136171,152.710702,11:00,6.72756,-1.05924,5.19245,-16.24013,22.28391,-10.72796,3.25886,0.66199,78.18042,-5.359825,0.880363,0.446722,81.5869,41.02794,-19.979393,,103.92782,84.0429,-36.04177,266.04137,265.4971,-19.308329,5.146219,6.30705,12.30005,0.8099,50,6.50766,-5.63598,-126.12411,-5.43053,9.95694,30.41606,-12.75602,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,22a43390-9589-11f0-8eba-7b90a1f8ec28,84.37563,94.70589,,9.0691,,,,2.86749,3.49212,-0.55857,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:47:46.54,2025-09-19T11:47:46.5450000-07:00,2025-09-19T18:47:46.5450000Z,FlyBall,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,1548c672-3502-47ff-a337-6d0e7781694e,55.30692,-127.3975,15.20803,6.72384,-4.89649,-6.37801,1.05458,-6.05284,4.97847,183.883166,2.87158,84.7494,-19.14556,4.78667,-0.67712,-0.00855,0.02224,-0.00337,0.00017,3.4888,78.60968,-18.80656,0.8862,-0.00418,-0.04291,0.01733,-0.00292,0.00017,-0.55991,-30.8138,8.0228,-2.28218,0.4095,-0.03051,-0.00394,0.00097,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,High,Medium,,,
16,2025-09-19,11:48:48.14,1,16,"Gesswein, Zachary",1000353152,Right,SAN_BAR1,"Gurley, John",1000475194,Right,SAN_BAR1,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,81.29456,0.65541,-1.470785,1857.215524,244.530049,2:15,5.50802,1.59961,5.49049,-32.76521,10.76906,19.32332,3.39097,1.8336,73.31798,-5.439829,1.971319,0.474883,,,,,,,,,,,,-10.18552,5.66973,-1.48418,50,5.54366,2.22868,-117.83335,0.28116,-14.10136,25.58778,-24.32459,SAN_BAR1,SAN_BAR1,PershingPark,TeamExclusive,Team,20250919-PershingPark-Private-1,4763b3e0-9589-11f0-8eba-7b90a1f8ec28,79.37198,,,7.97658,,,,,,,f33c08e4-f3f5-406d-94d9-11c028960642,2025-09-19,18:48:48.14,2025-09-19T11:48:48.1470000-07:00,2025-09-19T18:48:48.1470000Z,,v3,,,,"Condon, Matthew",10180699,Right,SAN_BAR1,703a8fb6-b0aa-4c01-9f83-b3c05aba0fc9,55.00952,-118.9162,12.79389,5.50998,1.31056,-12.1623,-1.59112,2.82544,-7.05068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
